index,time,x,y,z,intensity
16,1580970537405,-4.0899300000001E-05,2.15396999999999E-05,0.0009089808,1
17,1580970537411,9.17007000000025E-05,0.0002711397,0.0009050808,1
18,1580970537416,-2.52992999999965E-05,0.0002672397,0.0009518808,1
19,1580970537421,-2.52992999999965E-05,0.0002672397,0.0008816808,1
20,1580970537427,-9.5499299999996E-05,0.0001697397,0.0008816808,1
21,1580970537432,-9.93992999999971E-05,0.0002672397,0.0007529808,1
22,1580970537438,-6.42993000000008E-05,0.0004583397,0.0008504808,1
23,1580970537443,-6.42993000000008E-05,0.0004583397,0.0008504808,1
24,1580970537449,-0.0001266993,0.0002282397,0.0010220808,1
25,1580970537454,5.66006999999993E-05,0.0002360397,0.0009674808,1
26,1580970537460,5.66006999999993E-05,0.0002360397,0.0009674808,1
27,1580970537465,0.0001580007,0.0002204397,0.0006788808,1
28,1580970537470,-0.0001305993,0.0003023397,0.0010688808,1
29,1580970537476,-0.0001305993,0.0003023397,0.0010688808,1
30,1580970537481,-0.0001890993,0.0003842397,0.0009206808,1
31,1580970537487,-8.37992999999995E-05,0.0002165397,0.0008504808,1
32,1580970537492,-8.37992999999995E-05,0.0002165397,0.0008504808,1
33,1580970537498,-3.30992999999988E-05,0.0001970397,0.0003902808,1
34,1580970537503,-0.0002319993,0.0004310397,0.0007412808,1
35,1580970537508,-0.0002319993,0.0004310397,0.0008426808,1
36,1580970537514,-0.0001266993,0.0005792397,0.0008426808,1
37,1580970537519,-6.42993000000008E-05,0.0003413397,0.0008192808,1
38,1580970537525,-0.0001617993,0.0001658397,0.0003317808,1
39,1580970537530,-0.0001617993,0.0001658397,0.0003317808,1
40,1580970537536,-7.20992999999962E-05,0.0002633397,0.0008543808,1
41,1580970537541,-6.42993000000008E-05,0.0002672397,0.0009635808,1
42,1580970537547,-6.42993000000008E-05,0.0002672397,0.0009635808,1
43,1580970537552,-0.0001734993,0.0002789397,0.0010376808,1
44,1580970537557,-0.0001695993,5.27396999999985E-05,0.0007490808,1
45,1580970537563,-0.0001695993,5.27396999999985E-05,0.0007490808,1
46,1580970537568,3.71007000000006E-05,-1.74603000000009E-05,0.0003083808,1
47,1580970537574,-0.0001617993,0.0003491397,0.0007763808,1
48,1580970537579,-0.0001617993,0.0003491397,0.0007763808,1
49,1580970537585,-5.64992999999986E-05,0.0002516397,0.0007685808,1
50,1580970537590,-5.25992999999975E-05,0.0002165397,0.0007763808,1
51,1580970537595,-5.25992999999975E-05,0.0002165397,0.0007412808,1
52,1580970537601,9.80069999999972E-06,0.0001541397,0.0007412808,1
53,1580970537606,-0.0001305993,0.0002984397,0.0005579808,1
54,1580970537612,-1.89929999999672E-06,0.0004973397,0.0006983808,1
55,1580970537617,-1.89929999999672E-06,0.0004973397,0.0006983808,1
56,1580970537623,0.0002009007,0.0004154397,0.0006593808,1
57,1580970537628,-0.0002085993,0.0001502397,0.0005735808,1
58,1580970537634,-0.0002085993,0.0001502397,0.0005735808,1
59,1580970537639,6.44007000000016E-05,0.0001931397,0.0008192808,1
60,1580970537645,2.00070000000441E-06,0.0003842397,0.0007958808,1
61,1580970537650,2.00070000000441E-06,0.0003842397,0.0007958808,1
62,1580970537656,-5.25992999999975E-05,0.0003920397,0.0009791808,1
63,1580970537661,-4.0899300000001E-05,0.0002945397,0.0005540808,1
64,1580970537666,-4.0899300000001E-05,0.0002945397,0.0005540808,1
65,1580970537672,-5.64992999999986E-05,0.0002555397,0.0006086808,1
66,1580970537677,-8.76993000000006E-05,0.0002048397,0.0009167808,1
67,1580970537683,-8.76993000000006E-05,0.0001736397,0.0012365808,1
68,1580970537688,-7.59992999999973E-05,0.0001736397,0.0012365808,1
69,1580970537694,2.54007000000042E-05,0.0002009397,0.0009479808,1
70,1580970537699,9.17007000000025E-05,0.0002633397,0.0004175808,1
71,1580970537704,9.17007000000025E-05,0.0002633397,0.0004175808,1
72,1580970537710,-0.0001110993,0.0004622397,0.0005969808,1
73,1580970537715,-5.79929999999784E-06,0.0003491397,0.0008075808,1
74,1580970537721,-5.79929999999784E-06,0.0003491397,0.0008075808,1
75,1580970537726,-6.8199299999995E-05,0.0001385397,0.0009206808,1
76,1580970537732,-0.0001149993,0.0004271397,0.0011780808,1
77,1580970537737,-0.0001149993,0.0004271397,0.0011780808,1
78,1580970537742,-0.0001539993,0.0002906397,0.0009089808,1
79,1580970537748,-0.0001617993,0.0002165397,0.0009479808,1
80,1580970537753,-0.0001617993,0.0002165397,0.0009479808,1
81,1580970537759,-4.86992999999963E-05,0.0002165397,0.0008699808,1
82,1580970537764,4.49007000000029E-05,0.0001268397,0.0006671808,1
83,1580970537770,4.49007000000029E-05,0.0001736397,0.0005072808,1
84,1580970537775,-2.13992999999954E-05,0.0001736397,0.0005072808,1
85,1580970537781,3.71007000000006E-05,0.0003296397,0.0008036808,1
86,1580970537786,-1.89929999999672E-06,0.0002867397,0.0011078808,1
87,1580970537792,-1.89929999999672E-06,0.0002867397,0.0011078808,1
88,1580970537797,-7.98992999999984E-05,0.0002438397,0.0007334808,1
89,1580970537803,2.93006999999984E-05,0.0002477397,0.0006047808,1
90,1580970537808,2.93006999999984E-05,0.0002477397,0.0006047808,1
91,1580970537814,-5.25992999999975E-05,0.0002789397,0.0005072808,1
92,1580970537819,0.0001073007,0.0002750397,0.0005579808,1
93,1580970537825,0.0001073007,0.0002750397,0.0005969808,1
94,1580970537831,-0.0001188993,0.0001346397,0.0005969808,1
95,1580970537836,-7.59992999999973E-05,0.0001034397,0.0006164808,1
96,1580970537842,-7.20992999999962E-05,0.0001853397,0.0006008808,1
97,1580970537847,-7.20992999999962E-05,0.0001853397,0.0006008808,1
98,1580970537853,-1.74993000000012E-05,0.0001697397,0.0006554808,1
99,1580970537858,4.8800700000004E-05,0.0001229397,0.0007490808,1
100,1580970537864,4.8800700000004E-05,0.0001229397,0.0007490808,1
101,1580970537869,-8.76993000000006E-05,0.0003374397,0.0007802808,1
102,1580970537875,5.66006999999993E-05,0.0002282397,0.0009479808,1
103,1580970537880,5.66006999999993E-05,0.0004661397,0.0011234808,1
104,1580970537886,-7.59992999999973E-05,0.0004661397,0.0011234808,1
105,1580970537908,-6.03992999999997E-05,0.0003257397,0.0010649808,1
106,1580970537913,-0.0001500993,0.0003608397,0.0011078808,1
107,1580970537919,-0.0001500993,0.0003608397,0.0011078808,1
108,1580970537925,-5.79929999999784E-06,0.0003140397,0.0009635808,1
109,1580970537930,5.66006999999993E-05,0.0003335397,0.0008621808,1
110,1580970537936,5.66006999999993E-05,0.0003335397,0.0006554808,1
111,1580970537941,6.05007000000005E-05,0.0003296397,0.0006554808,1
112,1580970537947,-0.0001695993,0.0002945397,0.0006593808,1
113,1580970537952,-2.91992999999977E-05,0.0004154397,0.0008387808,1
114,1580970537958,-2.91992999999977E-05,0.0004154397,0.0008387808,1
115,1580970537964,9.17007000000025E-05,0.0001268397,0.0006710808,1
116,1580970537969,-0.0002553993,0.0003842397,0.0008777808,1
117,1580970537975,-0.0002553993,0.0003842397,0.0008777808,1
118,1580970537980,5.66006999999993E-05,0.0002633397,0.0008075808,1
119,1580970537986,5.90069999999859E-06,0.0002594397,0.0007022808,1
120,1580970537991,5.90069999999859E-06,0.0001580397,0.0006788808,1
121,1580970537997,-4.47992999999952E-05,0.0001580397,0.0006788808,1
122,1580970538006,-9.5499299999996E-05,0.0002087397,0.0006632808,1
123,1580970538012,-4.0899300000001E-05,0.0003608397,0.0006359808,1
124,1580970538018,-8.76993000000006E-05,0.0003374397,0.0008699808,1
0,1580970538031,-0.0001461993,9.56397000000005E-05,0.0007061808,1
1,1580970538036,-0.0001851993,9.56397000000005E-05,0.0007061808,1
2,1580970538042,-0.0001188993,3.32396999999998E-05,0.0006242808,1
3,1580970538048,-7.98992999999984E-05,0.0001892397,0.0010064808,1
4,1580970538053,-7.98992999999984E-05,0.0001892397,0.0010064808,1
5,1580970538059,-1.74993000000012E-05,9.17396999999993E-05,0.0006515808,1
6,1580970538064,-5.64992999999986E-05,0.0001580397,0.0010103808,1
7,1580970538070,-5.64992999999986E-05,0.0001580397,0.0010103808,1
8,1580970538075,-0.0002241993,0.0002555397,0.0008582808,1
9,1580970538081,-9.15993000000018E-05,0.0002867397,0.0008621808,1
10,1580970538087,-0.0001227993,0.0003959397,0.0008036808,1
11,1580970538092,-0.0001227993,0.0003959397,0.0008036808,1
12,1580970538098,-6.8199299999995E-05,0.0001892397,0.0007724808,1
13,1580970538103,-0.0001227993,0.0001658397,0.0006983808,1
14,1580970538109,-0.0001227993,0.0001658397,0.0006983808,1
15,1580970538114,0.0001112007,0.0003842397,0.0007217808,1
16,1580970538120,1.37007000000008E-05,0.0002828397,0.0007568808,1
17,1580970538125,1.37007000000008E-05,0.0002828397,0.0009596808,1
18,1580970538137,-0.0001071993,0.0001385397,0.0009596808,1
19,1580970538142,2.93006999999984E-05,0.0004076397,0.0009986808,1
20,1580970538148,2.93006999999984E-05,0.0004076397,0.0009986808,1
21,1580970538228,1.37007000000008E-05,0.0002165397,0.0011234808,1
22,1580970538248,-3.69992999999999E-05,0.0003491397,0.0007022808,1
23,1580970538278,-0.0001422993,0.0001775397,0.0007568808,1
24,1580970538285,-2.13992999999954E-05,0.0002867397,0.0007685808,1
25,1580970538290,-2.13992999999954E-05,0.0002867397,0.0007685808,1
26,1580970538296,-0.0001071993,0.0002009397,0.0006944808,1
27,1580970538301,-9.15993000000018E-05,0.0003374397,0.0007217808,1
28,1580970538307,-9.15993000000018E-05,0.0003374397,0.0007217808,1
29,1580970538312,-2.52992999999965E-05,0.0002828397,0.0006983808,1
30,1580970538318,-9.69929999999897E-06,0.0002360397,0.0007100808,1
31,1580970538324,-9.69929999999897E-06,0.0003101397,0.0006398808,1
32,1580970538329,-7.20992999999962E-05,0.0003101397,0.0006398808,1
33,1580970538335,-8.76993000000006E-05,0.0001619397,0.0004643808,1
34,1580970538340,6.44007000000016E-05,0.0001463397,0.0004136808,1
35,1580970538346,6.44007000000016E-05,0.0001463397,0.0004136808,1
36,1580970538351,-0.0001305993,0.0004544397,0.0006554808,1
37,1580970538357,-7.59992999999973E-05,0.0001931397,0.0006437808,1
38,1580970538362,-7.59992999999973E-05,0.0001931397,0.0006437808,1
39,1580970538368,2.54007000000042E-05,0.0001580397,0.0009518808,1
40,1580970538374,9.95007000000048E-05,0.0002126397,0.0007529808,1
41,1580970538385,2.54007000000042E-05,0.0001775397,0.0006359808,1
42,1580970538391,6.83007000000027E-05,0.0003686397,0.0008699808,1
43,1580970538396,0.0001268007,8.39397000000006E-05,0.0008855808,1
44,1580970538402,0.0001268007,8.39397000000006E-05,0.0008855808,1
45,1580970538407,-3.30992999999988E-05,-2.13602999999986E-05,0.0009752808,1
46,1580970538413,-3.69992999999999E-05,0.0002711397,0.0006008808,1
47,1580970538418,-3.69992999999999E-05,0.0001502397,0.0009011808,1
48,1580970538424,3.32006999999995E-05,0.0001502397,0.0009011808,1
49,1580970538430,-7.98992999999984E-05,0.0001541397,0.0011234808,1
50,1580970538435,9.80069999999972E-06,0.0002516397,0.0007802808,1
51,1580970538441,9.80069999999972E-06,0.0002516397,0.0007802808,1
52,1580970538446,5.27006999999982E-05,0.0004154397,0.0006788808,1
53,1580970538452,4.10007000000018E-05,0.0002126397,0.0008270808,1
54,1580970538457,4.10007000000018E-05,0.0002126397,0.0008270808,1
55,1580970538463,-0.0001851993,0.0001775397,0.0008933808,1
56,1580970538469,-0.0001695993,0.0003647397,0.0007802808,1
57,1580970538474,-0.0001149993,0.0003920397,0.0003980808,1
58,1580970538480,-0.0001149993,0.0003920397,0.0003980808,1
59,1580970538486,-1.35993000000001E-05,0.0003881397,0.0008504808,1
60,1580970538491,-6.03992999999997E-05,0.0004037397,0.0009362808,1
61,1580970538497,-6.03992999999997E-05,0.0004037397,0.0009362808,1
62,1580970538502,2.00070000000441E-06,0.0001463397,0.0007412808,1
63,1580970538508,-7.59992999999973E-05,0.0003023397,0.0005150808,1
64,1580970538513,-7.59992999999973E-05,0.0002984397,0.0006866808,1
65,1580970538519,-0.0001734993,0.0002984397,0.0006866808,1
66,1580970538525,-0.0001149993,0.0003452397,0.0007295808,1
67,1580970538530,-2.13992999999954E-05,0.0004271397,0.0006827808,1
68,1580970538536,-2.13992999999954E-05,0.0004271397,0.0006827808,1
69,1580970538541,6.44007000000016E-05,0.0001775397,0.0007763808,1
70,1580970538547,-3.69992999999999E-05,0.0003140397,0.0007607808,1
71,1580970538552,-3.69992999999999E-05,0.0003140397,0.0007607808,1
72,1580970538558,9.56007000000037E-05,6.83396999999995E-05,0.0009362808,1
73,1580970538564,2.93006999999984E-05,0.0003764397,0.0009362808,1
74,1580970538570,-0.0002046993,0.0001814397,0.0008348808,1
75,1580970538575,-0.0002046993,0.0001814397,0.0008348808,1
76,1580970538581,-0.0001110993,0.0002672397,0.0006554808,1
77,1580970538586,-0.0001968993,0.0003842397,0.0009713808,1
78,1580970538592,-0.0001968993,0.0003842397,0.0009713808,1
79,1580970538597,-0.0001188993,0.0001619397,0.0008504808,1
80,1580970538603,-0.0001890993,0.0002555397,0.0007529808,1
81,1580970538609,-0.0001890993,0.0001229397,0.0005852808,1
82,1580970538614,-0.0001773993,0.0001229397,0.0005852808,1
83,1580970538620,-7.98992999999984E-05,0.0002438397,0.0008231808,1
84,1580970538625,-1.74993000000012E-05,0.0003296397,0.0011819808,1
85,1580970538631,-1.74993000000012E-05,0.0003296397,0.0011819808,1
86,1580970538636,-4.0899300000001E-05,0.0002399397,0.0006710808,1
87,1580970538642,-0.0001110993,0.0003257397,0.0005345808,1
88,1580970538648,-0.0001110993,0.0003257397,0.0005345808,1
89,1580970538653,-6.42993000000008E-05,0.0002555397,0.0007880808,1
90,1580970538659,-0.0002046993,0.0001892397,0.0010181808,1
91,1580970538664,-0.0001617993,0.0003998397,0.0007802808,1
92,1580970538670,-0.0001617993,0.0003998397,0.0007802808,1
93,1580970538676,-6.03992999999997E-05,0.0002321397,0.0004799808,1
94,1580970538681,-0.0001188993,0.0003491397,0.0004487808,1
95,1580970538687,-0.0001188993,0.0003491397,0.0004487808,1
96,1580970538692,3.32006999999995E-05,0.0004466397,0.0009557808,1
97,1580970538698,-5.25992999999975E-05,0.0001346397,0.0005852808,1
98,1580970538703,-5.25992999999975E-05,0.0003023397,0.0006008808,1
99,1580970538709,-0.0001461993,0.0003023397,0.0006008808,1
100,1580970538715,1.37007000000008E-05,0.0001736397,0.0003785808,1
101,1580970538720,-0.0001890993,0.0002828397,0.0009206808,1
102,1580970538726,-0.0001890993,0.0002828397,0.0009206808,1
103,1580970538731,-0.0002163993,6.44396999999984E-05,0.0008075808,1
104,1580970538737,-0.0001266993,2.03970000000123E-06,0.0007607808,1
105,1580970538743,-0.0001266993,2.03970000000123E-06,0.0008153808,1
106,1580970538748,-0.0001461993,0.0002633397,0.0008153808,1
107,1580970538754,-0.0001344993,0.0005324397,0.0007919808,1
108,1580970538759,-0.0001695993,0.0002750397,0.0009986808,1
109,1580970538765,-0.0001695993,0.0002750397,0.0009986808,1
110,1580970538779,5.90069999999859E-06,0.0001385397,0.0006749808,1
111,1580970538785,-6.03992999999997E-05,0.0003491397,0.0007490808,1
112,1580970538790,-6.03992999999997E-05,0.0003491397,0.0011624808,1
113,1580970538796,7.6100700000005E-05,0.0003335397,0.0011624808,1
114,1580970538801,9.80069999999972E-06,0.0001736397,0.0009284808,1
115,1580970538807,-0.0001461993,0.0001541397,0.0006203808,1
116,1580970538813,-0.0001461993,0.0001541397,0.0006203808,1
117,1580970538818,-0.0001032993,0.0002048397,0.0006749808,1
118,1580970538824,-0.0002202993,0.0003218397,0.0009557808,1
119,1580970538829,-0.0002202993,0.0003218397,0.0009557808,1
120,1580970538835,-0.0001929993,0.0002048397,0.0006983808,1
121,1580970538840,-4.86992999999963E-05,0.0003335397,0.0007568808,1
122,1580970538846,-4.86992999999963E-05,0.0001619397,0.0005774808,1
123,1580970538851,2.54007000000042E-05,0.0001619397,0.0005774808,1
124,1580970538857,-0.0001110993,0.0002165397,0.0008153808,1
0,1580970538031,-0.0001461993,9.56397000000005E-05,0.0007061808,1
1,1580970538036,-0.0001851993,9.56397000000005E-05,0.0007061808,1
2,1580970538042,-0.0001188993,3.32396999999998E-05,0.0006242808,1
3,1580970538048,-7.98992999999984E-05,0.0001892397,0.0010064808,1
4,1580970538053,-7.98992999999984E-05,0.0001892397,0.0010064808,1
5,1580970538059,-1.74993000000012E-05,9.17396999999993E-05,0.0006515808,1
6,1580970538064,-5.64992999999986E-05,0.0001580397,0.0010103808,1
7,1580970538070,-5.64992999999986E-05,0.0001580397,0.0010103808,1
8,1580970538075,-0.0002241993,0.0002555397,0.0008582808,1
9,1580970538081,-9.15993000000018E-05,0.0002867397,0.0008621808,1
10,1580970538087,-0.0001227993,0.0003959397,0.0008036808,1
11,1580970538092,-0.0001227993,0.0003959397,0.0008036808,1
12,1580970538098,-6.8199299999995E-05,0.0001892397,0.0007724808,1
13,1580970538103,-0.0001227993,0.0001658397,0.0006983808,1
14,1580970538109,-0.0001227993,0.0001658397,0.0006983808,1
15,1580970538114,0.0001112007,0.0003842397,0.0007217808,1
16,1580970538120,1.37007000000008E-05,0.0002828397,0.0007568808,1
17,1580970538125,1.37007000000008E-05,0.0002828397,0.0009596808,1
18,1580970538137,-0.0001071993,0.0001385397,0.0009596808,1
19,1580970538142,2.93006999999984E-05,0.0004076397,0.0009986808,1
20,1580970538148,2.93006999999984E-05,0.0004076397,0.0009986808,1
21,1580970538228,1.37007000000008E-05,0.0002165397,0.0011234808,1
22,1580970538248,-3.69992999999999E-05,0.0003491397,0.0007022808,1
23,1580970538278,-0.0001422993,0.0001775397,0.0007568808,1
24,1580970538285,-2.13992999999954E-05,0.0002867397,0.0007685808,1
25,1580970538290,-2.13992999999954E-05,0.0002867397,0.0007685808,1
26,1580970538296,-0.0001071993,0.0002009397,0.0006944808,1
27,1580970538301,-9.15993000000018E-05,0.0003374397,0.0007217808,1
28,1580970538307,-9.15993000000018E-05,0.0003374397,0.0007217808,1
29,1580970538312,-2.52992999999965E-05,0.0002828397,0.0006983808,1
30,1580970538318,-9.69929999999897E-06,0.0002360397,0.0007100808,1
31,1580970538324,-9.69929999999897E-06,0.0003101397,0.0006398808,1
32,1580970538329,-7.20992999999962E-05,0.0003101397,0.0006398808,1
33,1580970538335,-8.76993000000006E-05,0.0001619397,0.0004643808,1
34,1580970538340,6.44007000000016E-05,0.0001463397,0.0004136808,1
35,1580970538346,6.44007000000016E-05,0.0001463397,0.0004136808,1
36,1580970538351,-0.0001305993,0.0004544397,0.0006554808,1
37,1580970538357,-7.59992999999973E-05,0.0001931397,0.0006437808,1
38,1580970538362,-7.59992999999973E-05,0.0001931397,0.0006437808,1
39,1580970538368,2.54007000000042E-05,0.0001580397,0.0009518808,1
40,1580970538374,9.95007000000048E-05,0.0002126397,0.0007529808,1
41,1580970538385,2.54007000000042E-05,0.0001775397,0.0006359808,1
42,1580970538391,6.83007000000027E-05,0.0003686397,0.0008699808,1
43,1580970538396,0.0001268007,8.39397000000006E-05,0.0008855808,1
44,1580970538402,0.0001268007,8.39397000000006E-05,0.0008855808,1
45,1580970538407,-3.30992999999988E-05,-2.13602999999986E-05,0.0009752808,1
46,1580970538413,-3.69992999999999E-05,0.0002711397,0.0006008808,1
47,1580970538418,-3.69992999999999E-05,0.0001502397,0.0009011808,1
48,1580970538424,3.32006999999995E-05,0.0001502397,0.0009011808,1
49,1580970538430,-7.98992999999984E-05,0.0001541397,0.0011234808,1
50,1580970538435,9.80069999999972E-06,0.0002516397,0.0007802808,1
51,1580970538441,9.80069999999972E-06,0.0002516397,0.0007802808,1
52,1580970538446,5.27006999999982E-05,0.0004154397,0.0006788808,1
53,1580970538452,4.10007000000018E-05,0.0002126397,0.0008270808,1
54,1580970538457,4.10007000000018E-05,0.0002126397,0.0008270808,1
55,1580970538463,-0.0001851993,0.0001775397,0.0008933808,1
56,1580970538469,-0.0001695993,0.0003647397,0.0007802808,1
57,1580970538474,-0.0001149993,0.0003920397,0.0003980808,1
58,1580970538480,-0.0001149993,0.0003920397,0.0003980808,1
59,1580970538486,-1.35993000000001E-05,0.0003881397,0.0008504808,1
60,1580970538491,-6.03992999999997E-05,0.0004037397,0.0009362808,1
61,1580970538497,-6.03992999999997E-05,0.0004037397,0.0009362808,1
62,1580970538502,2.00070000000441E-06,0.0001463397,0.0007412808,1
63,1580970538508,-7.59992999999973E-05,0.0003023397,0.0005150808,1
64,1580970538513,-7.59992999999973E-05,0.0002984397,0.0006866808,1
65,1580970538519,-0.0001734993,0.0002984397,0.0006866808,1
66,1580970538525,-0.0001149993,0.0003452397,0.0007295808,1
67,1580970538530,-2.13992999999954E-05,0.0004271397,0.0006827808,1
68,1580970538536,-2.13992999999954E-05,0.0004271397,0.0006827808,1
69,1580970538541,6.44007000000016E-05,0.0001775397,0.0007763808,1
70,1580970538547,-3.69992999999999E-05,0.0003140397,0.0007607808,1
71,1580970538552,-3.69992999999999E-05,0.0003140397,0.0007607808,1
72,1580970538558,9.56007000000037E-05,6.83396999999995E-05,0.0009362808,1
73,1580970538564,2.93006999999984E-05,0.0003764397,0.0009362808,1
74,1580970538570,-0.0002046993,0.0001814397,0.0008348808,1
75,1580970538575,-0.0002046993,0.0001814397,0.0008348808,1
76,1580970538581,-0.0001110993,0.0002672397,0.0006554808,1
77,1580970538586,-0.0001968993,0.0003842397,0.0009713808,1
78,1580970538592,-0.0001968993,0.0003842397,0.0009713808,1
79,1580970538597,-0.0001188993,0.0001619397,0.0008504808,1
80,1580970538603,-0.0001890993,0.0002555397,0.0007529808,1
81,1580970538609,-0.0001890993,0.0001229397,0.0005852808,1
82,1580970538614,-0.0001773993,0.0001229397,0.0005852808,1
83,1580970538620,-7.98992999999984E-05,0.0002438397,0.0008231808,1
84,1580970538625,-1.74993000000012E-05,0.0003296397,0.0011819808,1
85,1580970538631,-1.74993000000012E-05,0.0003296397,0.0011819808,1
86,1580970538636,-4.0899300000001E-05,0.0002399397,0.0006710808,1
87,1580970538642,-0.0001110993,0.0003257397,0.0005345808,1
88,1580970538648,-0.0001110993,0.0003257397,0.0005345808,1
89,1580970538653,-6.42993000000008E-05,0.0002555397,0.0007880808,1
90,1580970538659,-0.0002046993,0.0001892397,0.0010181808,1
91,1580970538664,-0.0001617993,0.0003998397,0.0007802808,1
92,1580970538670,-0.0001617993,0.0003998397,0.0007802808,1
93,1580970538676,-6.03992999999997E-05,0.0002321397,0.0004799808,1
94,1580970538681,-0.0001188993,0.0003491397,0.0004487808,1
95,1580970538687,-0.0001188993,0.0003491397,0.0004487808,1
96,1580970538692,3.32006999999995E-05,0.0004466397,0.0009557808,1
97,1580970538698,-5.25992999999975E-05,0.0001346397,0.0005852808,1
98,1580970538703,-5.25992999999975E-05,0.0003023397,0.0006008808,1
99,1580970538709,-0.0001461993,0.0003023397,0.0006008808,1
100,1580970538715,1.37007000000008E-05,0.0001736397,0.0003785808,1
101,1580970538720,-0.0001890993,0.0002828397,0.0009206808,1
102,1580970538726,-0.0001890993,0.0002828397,0.0009206808,1
103,1580970538731,-0.0002163993,6.44396999999984E-05,0.0008075808,1
104,1580970538737,-0.0001266993,2.03970000000123E-06,0.0007607808,1
105,1580970538743,-0.0001266993,2.03970000000123E-06,0.0008153808,1
106,1580970538748,-0.0001461993,0.0002633397,0.0008153808,1
107,1580970538754,-0.0001344993,0.0005324397,0.0007919808,1
108,1580970538759,-0.0001695993,0.0002750397,0.0009986808,1
109,1580970538765,-0.0001695993,0.0002750397,0.0009986808,1
110,1580970538779,5.90069999999859E-06,0.0001385397,0.0006749808,1
111,1580970538785,-6.03992999999997E-05,0.0003491397,0.0007490808,1
112,1580970538790,-6.03992999999997E-05,0.0003491397,0.0011624808,1
113,1580970538796,7.6100700000005E-05,0.0003335397,0.0011624808,1
114,1580970538801,9.80069999999972E-06,0.0001736397,0.0009284808,1
115,1580970538807,-0.0001461993,0.0001541397,0.0006203808,1
116,1580970538813,-0.0001461993,0.0001541397,0.0006203808,1
117,1580970538818,-0.0001032993,0.0002048397,0.0006749808,1
118,1580970538824,-0.0002202993,0.0003218397,0.0009557808,1
119,1580970538829,-0.0002202993,0.0003218397,0.0009557808,1
120,1580970538835,-0.0001929993,0.0002048397,0.0006983808,1
121,1580970538840,-4.86992999999963E-05,0.0003335397,0.0007568808,1
122,1580970538846,-4.86992999999963E-05,0.0001619397,0.0005774808,1
123,1580970538851,2.54007000000042E-05,0.0001619397,0.0005774808,1
124,1580970538857,-0.0001110993,0.0002165397,0.0008153808,1
0,1580970538876,-1.35993000000001E-05,0.0003530397,0.0010025808,1
1,1580970538891,-4.47992999999952E-05,0.0003569397,0.0004877808,1
2,1580970539001,0.0001892007,9.56397000000005E-05,0.0008543808,1
3,1580970539007,5.90069999999859E-06,0.0001697397,0.0007373808,1
4,1580970539013,9.95007000000048E-05,0.0001736397,0.0009596808,1
5,1580970539018,9.95007000000048E-05,0.0001736397,0.0009596808,1
6,1580970539024,0.0001229007,0.0003725397,0.0004526808,1
7,1580970539029,-8.76993000000006E-05,0.0003140397,0.0005930808,1
8,1580970539035,-8.76993000000006E-05,0.0003140397,0.0005930808,1
9,1580970539040,-0.0002397993,0.0002594397,0.0010142808,1
10,1580970539046,-0.0001773993,0.0004193397,0.0009089808,1
11,1580970539052,-0.0001773993,0.0003062397,0.0004721808,1
12,1580970539057,-0.0001266993,0.0003062397,0.0004721808,1
13,1580970539063,-8.37992999999995E-05,0.0005441397,0.0009596808,1
14,1580970539068,4.49007000000029E-05,0.0001931397,0.0008543808,1
15,1580970539074,4.49007000000029E-05,0.0001931397,0.0008543808,1
16,1580970539079,4.49007000000029E-05,5.27396999999985E-05,0.0009323808,1
17,1580970539085,-0.0001773993,0.0004076397,0.0008348808,1
18,1580970539090,-0.0001773993,0.0004076397,0.0008348808,1
19,1580970539096,-2.13992999999954E-05,9.56397000000005E-05,0.0007217808,1
20,1580970539102,-9.93992999999971E-05,6.44396999999984E-05,0.0009050808,1
21,1580970539107,-0.0001500993,0.0002555397,0.0006788808,1
22,1580970539113,-0.0001500993,0.0002555397,0.0006788808,1
23,1580970539118,-9.69929999999897E-06,0.0003959397,0.0005618808,1
24,1580970539124,-2.13992999999954E-05,0.0003218397,0.0006515808,1
25,1580970539129,-2.13992999999954E-05,0.0003218397,0.0006515808,1
26,1580970539135,-3.30992999999988E-05,0.0001229397,0.0010025808,1
27,1580970539140,3.32006999999995E-05,0.0002165397,0.0007880808,1
28,1580970539146,3.32006999999995E-05,0.0002165397,0.0007880808,1
29,1580970539152,-0.0001266993,0.0002906397,0.0006476808,1
30,1580970539157,-0.0002553993,0.0002906397,0.0004136808,1
31,1580970539163,-5.64992999999986E-05,0.0003725397,0.0008387808,1
32,1580970539168,-5.64992999999986E-05,0.0003725397,0.0008387808,1
33,1580970539174,-2.52992999999965E-05,0.0002165397,0.0007490808,1
34,1580970539179,-0.0001110993,0.0003686397,0.0007451808,1
35,1580970539185,-0.0001110993,0.0003686397,0.0007451808,1
36,1580970539190,4.10007000000018E-05,0.0001853397,0.0007841808,1
37,1580970539196,2.54007000000042E-05,0.0001736397,0.0008738808,1
38,1580970539202,2.54007000000042E-05,0.0001736397,0.0007607808,1
39,1580970539207,-4.0899300000001E-05,0.0003218397,0.0007607808,1
40,1580970539213,-8.37992999999995E-05,0.0001151397,0.0007646808,1
41,1580970539218,-0.0002124993,0.0003296397,0.0008114808,1
42,1580970539224,-0.0002124993,0.0003296397,0.0008114808,1
43,1580970539229,-0.0001422993,0.0003296397,0.0008309808,1
44,1580970539235,2.00070000000441E-06,5.27396999999985E-05,0.0009323808,1
45,1580970539241,2.00070000000441E-06,5.27396999999985E-05,0.0009323808,1
